,val,pickup_cluster,dropoff_cluster
0,0.0,35,29
1,0.24545454545454548,29,9
2,0.16666666666666666,9,2
3,0.20962962962962964,49,38
4,0.0,43,35
5,0.06722222222222222,29,28
6,0.0,6,26
7,0.0,40,9
8,0.0,35,36
9,0.29333333333333333,39,9
10,0.0,33,15
11,0.2325,18,47
12,0.175,9,36
13,0.0,19,28
14,0.09090909090909091,36,9
15,0.11764705882352941,26,15
16,0.0,47,29
17,0.0,5,5
18,0.0,2,5
19,0.17,42,19
20,0.0,11,9
21,0.17886178861788618,3,16
22,0.07142857142857142,22,48
23,0.0,9,35
24,0.0,0,5
25,0.10769230769230768,19,23
26,0.0,7,23
27,0.14492753623188406,4,39
28,0.29714285714285715,0,23
29,0.0,34,22
30,0.0,32,46
31,0.0,45,23
32,0.27294117647058824,34,9
33,0.21066666666666667,45,35
34,0.332,37,40
35,0.0,5,38
36,0.14285714285714285,33,12
37,0.0,47,5
38,0.0,47,23
39,0.1527777777777778,33,15
40,0.2681818181818182,7,36
41,0.22599999999999998,43,11
42,0.3148148148148148,29,47
43,0.0,5,35
44,0.0,34,22
45,0.21777777777777776,29,22
46,0.0,13,25
47,0.22599999999999998,39,28
48,0.0,41,14
49,0.236,20,14
50,0.0,34,35
51,0.0,26,5
52,0.0,38,46
53,0.125,10,19
54,0.2157894736842105,25,39
55,0.0,29,35
56,0.0,7,9
57,0.21052631578947367,45,39
58,0.0,7,35
59,0.0,43,23
60,0.1,9,14
61,0.22736842105263158,26,29
62,0.0,25,36
63,0.14285714285714285,22,23
64,0.21282051282051284,13,33
65,0.0,19,2
66,0.22363636363636363,47,12
67,0.1,2,5
68,0.0,34,23
69,0.2068085106382979,34,0
70,0.08,0,35
71,0.10714285714285714,29,33
72,0.0,19,9
73,1.0,45,2
74,0.18181818181818182,7,39
75,0.0,8,19
76,0.0,10,19
77,0.0,2,46
78,0.23164556962025318,4,9
79,0.0,3,35
80,0.21777777777777776,47,35
81,0.0,18,15
82,0.21944444444444444,1,1
83,0.0,18,35
84,0.0,10,29
85,0.21523809523809523,5,46
86,0.325,34,11
87,0.0,3,15
88,0.20697674418604653,18,33
89,0.0,18,14
90,0.1276595744680851,20,47
91,0.0,1,1
92,0.0,33,35
93,0.0,10,5
94,0.20722222222222222,4,6
95,0.16666666666666666,42,22
96,0.0,3,46
97,0.13333333333333333,35,44
98,0.25,5,35
99,0.22260869565217392,19,9
100,0.10416666666666667,24,11
101,0.2290909090909091,0,22
102,0.0,48,12
103,0.0,49,37
104,0.0,42,11
105,0.0,38,5
106,0.10638297872340426,48,24
107,0.24724137931034482,0,32
108,0.2325,12,48
109,0.0,10,44
110,0.23125,29,29
111,0.0,34,14
112,0.0,48,35
113,0.0,0,35
114,0.0,20,36
115,0.3035294117647059,48,29
116,0.25,32,47
117,0.21391304347826087,9,22
118,0.21444444444444444,19,13
119,0.0,19,39
120,0.10344827586206896,7,11
121,0.0,3,13
122,0.0,19,11
123,0.3644067796610169,11,26
124,0.22476190476190475,20,23
125,0.11764705882352941,24,39
126,0.16666666666666666,25,35
127,0.0,0,39
128,0.0,45,13
129,0.06818181818181818,47,8
130,0.0,3,25
131,0.0,3,25
132,0.0,45,2
133,0.2222222222222222,43,22
134,0.0,25,14
135,0.0,43,29
136,0.31,47,28
137,0.23466666666666666,29,44
138,0.0,14,46
139,0.0,24,23
140,0.0,34,9
141,0.0,18,46
142,0.25142857142857145,11,47
143,0.0,38,35
144,0.20909090909090908,19,48
145,0.0,7,26
146,0.2325,39,46
147,0.0,47,12
148,0.0,1,1
149,0.22117647058823528,29,14
150,0.24545454545454548,18,15
151,0.09090909090909091,24,22
152,0.17391304347826086,45,5
153,0.2167741935483871,0,19
154,0.2782608695652174,35,9
155,0.18181818181818182,33,23
156,0.265,32,11
157,0.21071428571428572,47,5
158,0.21032258064516127,26,48
159,0.0,42,19
160,0.2,20,14
161,0.0,8,0
162,0.21333333333333335,29,23
163,0.0,33,28
164,0.0,47,19
165,0.2636363636363636,5,39
166,0.0,7,17
167,0.324,34,9
168,0.0,48,9
169,0.264,43,14
170,0.0,24,33
171,0.25,19,28
172,0.23555555555555557,39,39
173,0.0,49,29
174,0.0,36,0
175,0.021052631578947368,13,34
176,0.2270967741935484,47,26
177,0.125,10,19
178,0.2025,3,20
179,0.0,36,22
180,0.29714285714285715,25,33
181,0.0,35,22
182,0.0,48,35
183,0.0,33,35
184,0.23076923076923078,11,2
185,0.23058823529411765,11,15
186,0.0,40,3
187,0.23199999999999998,8,19
